name_ko,name_en,unit,start_kst,observed_min,n_points,peak_ccu,avg_ccu,title,category
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-15 02:31,0.0,1,4984,4984,추억의 애니(추억별로없음) OST 월드컵 하기,talk
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-13 20:35,0.0,1,4879,4879,그놈의 대두 스페이스 ,데드 스페이스
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-12 19:54,224.0,27,4829,3647,"팔척귀신 누나랑 여름휴가를 보내는 공포겜 
",하치샤쿠사마
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-14 22:25,0.0,1,4827,4827,오늘운 옵치 대회 카봉컵 팀 뽑는 날 ~~ ,오버워치
하나코 나나,Hanako Nana,CLICHE,2026-08-13 17:39,0.0,1,4590,4590,포린이 혼자하다가 드디어 방송에서 포챔스키다,포켓몬 챔피언스
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-13 19:48,0.0,1,4589,4589,데바데 w. 강지 리제 린 [시키샤카샤카슈-와! 100만회 감사합니당]💚,데드 바이 데이라이트
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 00:14,0.0,1,4545,4545,그놈의 대두 스페이스 ,데드 스페이스
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-14 23:32,0.0,1,4497,4497,오늘운 옵치 대회 카봉컵 팀 뽑는 날 ~~ ,오버워치
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 01:14,0.0,1,4404,4404,그놈의 대두 스페이스 ,데드 스페이스
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 02:17,0.0,1,4303,4303,그놈의 대두 스페이스 ,데드 스페이스
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 20:57,0.0,1,4225,4225,아오오니 2 ,아오오니2
하나코 나나,Hanako Nana,CLICHE,2026-08-15 04:35,0.0,1,4170,4170,새벽 노래연습이다,음악/노래
아라하시 타비,Arahashi Tabi,UNIVERSE,2026-08-12 19:54,224.0,27,4086,3665,흐아ㅏㅏㅏㅏㅏㅏㅏ,talk
하나코 나나,Hanako Nana,CLICHE,2026-08-15 05:13,0.0,1,4050,4050,새벽 노래연습이다,음악/노래
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-13 23:07,0.0,1,4003,4003,데바데 w. 강지 리제 린 이춘향 [시키샤카샤카슈-와! 100만회 감사합니당]💚,데드 바이 데이라이트
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-13 21:31,0.0,1,4000,4000,데바데 w. 강지 리제 린 이춘향 [시키샤카샤카슈-와! 100만회 감사합니당]💚,데드 바이 데이라이트
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-13 20:35,0.0,1,3924,3924,데바데 w. 강지 리제 린 [시키샤카샤카슈-와! 100만회 감사합니당]💚,데드 바이 데이라이트
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-15 00:28,0.0,1,3923,3923,오늘운 옵치 대회 카봉컵 팀 뽑는 날 ~~ ,오버워치
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-13 18:47,0.0,1,3900,3900,드디어 빙하기 끝! [시키샤카샤카슈-와! 100만회 감사합니당]💚,talk
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-14 17:51,0.0,1,3887,3887,히게단 라이브 월드컵,talk
아카네 리제,Akane Lize,UNIVERSE,2026-08-15 01:27,0.0,1,3780,3780,오느릉 한ㄱ식으로 말아다오,음악/노래
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-14 00:14,0.0,1,3752,3752,포평 ;;,talk
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 22:25,0.0,1,3729,3729,대두 스페이스 끝까지 가보쟈,데드 스페이스
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-14 17:51,0.0,1,3552,3552,오늘운 옵치 대회 카봉컵 팀 뽑는 날 ~~ ,talk
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 20:57,0.0,1,3540,3540,대두 스페이스 끝까지 가보쟈,데드 스페이스
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-15 00:28,0.0,1,3536,3536,아오 스트레스 풀어,데드 바이 데이라이트
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-15 02:31,0.0,1,3489,3489,팀장이니까..,이터널 리턴
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 20:08,0.0,1,3487,3487,대두 스페이스 끝까지 가보쟈,데드 스페이스
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-13 23:07,0.0,1,3463,3463,"데바데 w. 사장님, 리제, 리코, 춘향님",데드 바이 데이라이트
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 23:32,0.0,1,3437,3437,아오 스트레스 풀어,데드 바이 데이라이트
강지,Kangji,STELLIVE,2026-08-13 15:57,0.0,1,3407,3407,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 22:25,0.0,1,3343,3343,아오오니 2 ,아오오니2
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-12 20:05,213.0,25,3342,3048,"어라 카테고리에 왜 크아가 없지... w. 타비, 부키",종합 게임
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-13 23:07,0.0,1,3310,3310,마지막 내전 ! ,오버워치
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 03:13,0.0,1,3309,3309, [시키샤카샤카슈-와! 100만회 감사합니당]💚,오버워치
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 19:08,0.0,1,3305,3305,봉누도2 설명회 보기💚,talk
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-14 00:14,0.0,1,3295,3295,"데바데 w. 사장님, 리제, 리코, 춘향님",데드 바이 데이라이트
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-14 19:08,0.0,1,3261,3261,대두 스페이스 끝까지 가보쟈,데드 스페이스
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-13 21:31,0.0,1,3232,3232,마지막 내전 ! ,오버워치
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 00:14,0.0,1,3231,3231,데바데 w. 강지 리제 린 이춘향 [시키샤카샤카슈-와! 100만회 감사합니당]💚,데드 바이 데이라이트
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 23:32,0.0,1,3227,3227,아오오니 2 ,talk
하나코 나나,Hanako Nana,CLICHE,2026-08-12 19:54,224.0,27,3221,3108,역전재판 3-2 더빙 플레이,역전재판 3
하나코 나나,Hanako Nana,CLICHE,2026-08-13 19:48,0.0,1,3186,3186,우효오오오오오옹ㅇ오ㅗ옸,이터널 리턴
하나코 나나,Hanako Nana,CLICHE,2026-08-13 20:35,0.0,1,3172,3172,우효오오오오오옹ㅇ오ㅗ옸,이터널 리턴
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-12 19:54,224.0,27,3172,2734,오늘 밤에 시간당100개의 별동뼐이쏟아지는걸아시나요,talk
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-15 01:27,0.0,1,3148,3148,팀장이니까..,이터널 리턴
아카네 리제,Akane Lize,UNIVERSE,2026-08-14 23:32,0.0,1,3140,3140,팔척귀신눈나랑 공포연애?미연시???게임,하치샤쿠사마
아카네 리제,Akane Lize,UNIVERSE,2026-08-14 22:25,0.0,1,3089,3089,팔척귀신눈나랑 공포연애?미연시???게임,하치샤쿠사마
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-12 15:37,70.6,9,3073,2448,하이!,talk
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 02:17,0.0,1,3056,3056, [시키샤카샤카슈-와! 100만회 감사합니당]💚,오버워치
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 04:30,0.0,1,3041,3041, [시키샤카샤카슈-와! 100만회 감사합니당]💚,이터널 리턴
강지,Kangji,STELLIVE,2026-08-13 14:22,0.0,1,3032,3032,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-14 01:14,0.0,1,3006,3006,"데바데 w. 사장님, 리제, 리코, 춘향님",데드 바이 데이라이트
하나코 나나,Hanako Nana,CLICHE,2026-08-12 16:07,40.4,6,2995,2286,휴 일상편이 제일 힘들다,talk
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-15 15:14,0.0,1,2995,2995,레디언드 찍습니다 오늘,발로란트
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-13 23:07,0.0,1,2992,2992,포평 ;;,talk
하나코 나나,Hanako Nana,CLICHE,2026-08-13 18:47,0.0,1,2981,2981,오늘은 이거저거 게임중독자 데이,에이펙스 레전드
아카네 리제,Akane Lize,UNIVERSE,2026-08-13 23:07,0.0,1,2958,2958,"헤헿 하합빵해요합방 헤헿 (w.사쬬, 린, 리코, 춘향님)",데드 바이 데이라이트
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-13 21:31,0.0,1,2918,2918,"데바데 w. 사장님, 리제, 리코, 춘향님",데드 바이 데이라이트
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-13 20:35,0.0,1,2911,2911,마지막 내전 ! ,오버워치
아카네 리제,Akane Lize,UNIVERSE,2026-08-15 00:28,0.0,1,2883,2883,멤버들 한자이름 지어주기,talk
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-14 01:14,0.0,1,2864,2864, [시키샤카샤카슈-와! 100만회 감사합니당]💚,오버워치
아카네 리제,Akane Lize,UNIVERSE,2026-08-14 00:14,0.0,1,2862,2862,"헤헿 하합빵해요합방 헤헿 (w.사쬬, 린, 리코, 춘향님)",데드 바이 데이라이트
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-14 19:08,0.0,1,2844,2844,히게단 라이브 월드컵,talk
아카네 리제,Akane Lize,UNIVERSE,2026-08-14 01:14,0.0,1,2805,2805,헤헿 새셋팅쟈랑할게,talk
유즈하 리코,Yuzuha Riko,CLICHE,2026-08-15 00:28,0.0,1,2762,2762,골드 갈래요,오버워치
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-13 20:35,0.0,1,2587,2587,"데바데 2:8 w. 사장님, 리제, 리코",데드 바이 데이라이트
강지,Kangji,STELLIVE,2026-08-13 19:48,0.0,1,2548,2548,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
아카네 리제,Akane Lize,UNIVERSE,2026-08-13 21:31,0.0,1,2497,2497,"헤헿 하합빵해요합방 헤헿 (w.사쬬, 린, 리코)",talk
텐코 시부키,Tenko Shibuki,CLICHE,2026-08-13 18:47,0.0,1,2484,2484,오늘은 상상도 못한 ㄴㅇㄱ,talk
강지,Kangji,STELLIVE,2026-08-13 17:39,0.0,1,2462,2462,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-14 20:57,0.0,1,2414,2414,히~~~~~나,talk
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-14 20:08,0.0,1,2407,2407,깨야만 해,피크
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-14 20:57,0.0,1,2388,2388,깨야만 해,피크
강지,Kangji,STELLIVE,2026-08-13 20:35,0.0,1,2109,2109,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-14 20:08,0.0,1,2109,2109,히~~~~~나,talk
강지,Kangji,STELLIVE,2026-08-13 18:47,0.0,1,2093,2093,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
강지,Kangji,STELLIVE,2026-08-13 21:31,0.0,1,2090,2090,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
강지,Kangji,STELLIVE,2026-08-14 00:14,0.0,1,2060,2060,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
강지,Kangji,STELLIVE,2026-08-13 23:07,0.0,1,2044,2044,( ܸ ⩌⩊⩌ ܸ ),데드 바이 데이라이트
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-13 19:48,0.0,1,2040,2040,저랑 리버스: 1999 하실 분 [광고],리버스: 1999
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-13 19:48,0.0,1,1892,1892,마지막 내전 ! ,talk
사키하네 후야,Sakihane Huya,EVERYS,2026-08-12 15:57,50.4,7,1891,1503,오 케 마 루,talk
사키하네 후야,Sakihane Huya,EVERYS,2026-08-12 19:54,51.6,7,1885,1770,도끼 하나로 회사(스텔아님)에게 복수하는 게임 / Chop chop inc.,종합 게임
하나코 나나,Hanako Nana,CLICHE,2026-08-15 03:31,0.0,1,1824,1824,새벽 노래연습이다,음악/노래
아야츠노 유니,Ayatsuno Yuni,EVERYS,2026-08-12 16:38,10.1,2,1723,1199,"팔척귀신 누나랑 여름휴가를 보내는 공포겜 
",talk
사키하네 후야,Sakihane Huya,EVERYS,2026-08-14 20:08,0.0,1,1716,1716,감기용가리의 늙크크 수리점...(´。＿。｀),리스토리: 칠 일렉트로닉스 리페어스
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-13 21:31,0.0,1,1700,1700,방제모,talk
사키하네 후야,Sakihane Huya,EVERYS,2026-08-14 20:57,0.0,1,1700,1700,감기용가리의 늙크크 수리점...(´。＿。｀),리스토리: 칠 일렉트로닉스 리페어스
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-13 18:47,0.0,1,1663,1663,그냥별똥별기다리다가기절한사람,talk
시라유키 히나,Shirayuki Hina,UNIVERSE,2026-08-13 20:35,0.0,1,1657,1657,저랑 리버스: 1999 하실 분 [광고],리버스: 1999
사키하네 후야,Sakihane Huya,EVERYS,2026-08-14 19:08,0.0,1,1598,1598,감기용가리의 늙크크 수리점...(´。＿。｀),리스토리: 칠 일렉트로닉스 리페어스
네네코 마시로,Neneko Mashiro,UNIVERSE,2026-08-15 14:46,0.0,1,1411,1411,슬랑이 왔따,talk
아카네 리제,Akane Lize,UNIVERSE,2026-08-14 20:57,0.0,1,1409,1409,팔척귀신눈나랑 공포연애?미연시???게임,talk
아오쿠모 린,Aokumo Rin,CLICHE,2026-08-13 19:48,0.0,1,116,116,"데바데 2:8 w. 사장님, 리제, 리코",데드 바이 데이라이트
사키하네 후야,Sakihane Huya,EVERYS,2026-08-14 17:51,0.0,1,0,0,감기용가리...(´。＿。｀),talk
